Property Name,Type,Address 1,External Property ID 1,Number floors,Status,Gross Area sq ft,Gross Area sq m,Net Space sq ft,Net Space sq m,Assignable Area sq ft,Assignable Area sq m,Non-Assignable Area sq ft,Non-Assignable Area sq m
Engineering Computer Science Building,Building,3800 Finnerty Road,233,7,Active,96829.67668,8995.47,86364.80001,8023.56,58615.67856,5445.58,27749.12145,2577.98
David Turpin Building,Building,3800 Finnerty Road,237,6,Active,100253.458,9313.54,88703.36311,8240.82,61324.9529,5697.28,27378.41021,2543.54
MacLaurin Building,Building,3800 Finnerty Road,123,6,Active,162064.4008,15055.78,150846.0729,14014.07,94679.82637,8796.05,55774.54822,5181.63
Bob Wright Centre,Building,3800 Finnerty Road,235,5,Active,139990.9766,13005.16,123714.1322,11493.43,86323.46474,8019.72,37390.66742,3473.71
Business & Economics Building,Building,3800 Finnerty Road,217,5,Active,78746.32386,7315.53,69813.47426,6485.89,46645.68645,4333.53,23167.7878,2152.36
Clearihue Building,Building,3800 Finnerty Road,115,5,Active,194692.3639,18086.92,173774.4666,16144.19,107579.0532,9994.43,66195.4134,6149.76
Elliott Building,Building,3800 Finnerty Road,116,5,Active,144633.0173,13436.4,132310.7231,12292.08,91377.44076,8489.25,40550.19464,3767.24
Engineering Office Wing,Building,3800 Finnerty Road,124,5,Active,39174.2453,3639.28,34912.17334,3243.45,23263.80179,2161.28,11648.37155,1082.17
Human & Social Development Building,Building,3800 Finnerty Road,161,5,Active,85214.67507,7916.44,75250.96322,6991.05,50012.20106,4646.29,25238.76216,2344.76
Continuing Studies Building,Building,3800 Finnerty Road,222,4,Active,80221.51723,7452.57,70709.35675,6569.12,44830.13803,4164.86,25879.21872,2404.26
Cornett Building,Building,3800 Finnerty Road,122,3,Active,119344.525,11087.1,103501.4684,9615.61,65968.71515,6128.7,37532.75325,3486.91
Engineering Lab Wing,Building,3800 Finnerty Road,214,4,Active,128374.3615,11925.97,116997.9038,10869.47,67980.81033,6315.63,48999.97888,4552.25
