ID,Season,SeasonYear,SeasonGen,BuildingFacade,Building,BuildingType,LastPresent,FirstAbsent
PISI2,Fall,SepOct2019,Fall,DBT8,DTB,high,105,INF
SAVS2,Winter,JanFeb2020,Winter,DTB2,DTB,high,102.77,INF
HETH1,Fall,SepOct2019,Fall,DTB3,DTB,high,105,INF
HETH4,Fall,SepOct2020,Fall,DTB3,DTB,high,102.58,INF
FOSP5,Winter,JanFeb2022,Winter,DTB3,DTB,high,101.97,INF
VATH5,Winter,JanFeb2021,Winter,DTB4,DTB,high,29.25,49.98
RUHU3,Winter,JanFeb2020,Winter,DTB5,DTB,high,6.82,23.45
SAVS3,Fall,SepOct2020,Fall,DTB5,DTB,high,102.55,INF
PISI1,Fall,SepOct2019,Fall,DTB6,DTB,high,28,33
SAVS4,Fall,SepOct2020,Fall,DTB7,DTB,high,6.98,23.07
AMRO3,Winter,NovDec2021,EarlyWinter,DTB7,DTB,high,26.05,29.22
FOSP4,Winter,NovDec2021,EarlyWinter,DTB7,DTB,high,2.37,5.37
VATH6,Winter,JanFeb2022,Winter,DTB7,DTB,high,26.2,30.25
GCKI3,Winter,JanFeb2021,Winter,DTB9,DTB,high,101.2,INF
CEWA2,Winter,NovDec2021,EarlyWinter,DTB9,DTB,high,101.22,INF
YEWA1,Fall,SepOct2020,Fall,EOW1,EOW,high,8,23.43
GCKI4,Winter,JanFeb2021,Winter,EOW1,EOW,high,54.65,78.75
GCSP3,Winter,NovDec2021,EarlyWinter,EOW1,EOW,high,102.1,INF
VATH1,Fall,SepOct2019,Fall,EOW2,EOW,high,81,105
LISP3,Winter,JanFeb2020,Winter,EOW2,EOW,high,23.53,27.23
CAR5,Fall,SepOct2019,Fall,EOW3,EOW,high,81,105
ORJU1,Fall,SepOct2019,Fall,EOW3,EOW,high,4,9
GCKI1,Fall,SepOct2020,Fall,EOW3,EOW,high,27.07,32.15
AMRO4,Winter,JanFeb2022,Winter,EOW3,EOW,high,102.77,INF
BCCH1,Fall,SepOct2019,Fall,EOW4,EOW,high,105,INF
AMRO2,Winter,JanFeb2021,Winter,EOW4,EOW,high,102.48,INF
FOSP3,Winter,NovDec2021,EarlyWinter,EOW4,EOW,high,101.92,INF
HOWR1,Winter,JanFeb2020,Winter,EOW5,EOW,high,103.7,INF
SWTH1,Fall,SepOct2020,Fall,EOW6,EOW,high,27.23,32.3
HETH9,Winter,JanFeb2022,Winter,EOW6,EOW,high,0,3.13
HETH6,Winter,JanFeb2021,Winter,FIA1,FIA,low,103.13,INF
FOSP6,Winter,JanFeb2022,Winter,FIA1,FIA,low,7.15,23.87
SOSP3,Fall,SepOct2020,Fall,FIA2,FIA,low,0,3.75
SPTO1,Fall,SepOct2019,Fall,FIA4,FIA,low,105,INF
ORJU2,Winter,JanFeb2020,Winter,FIA5,FIA,low,30.15,50.63
PAWR1,Fall,SepOct2020,Fall,FIA5,FIA,low,56.92,80.77
HETH8,Winter,NovDec2021,EarlyWinter,FIA5,FIA,low,27.43,30.6
SOSP1,Fall,SepOct2019,Fall,FIA6,FIA,low,4,9
HETH3,Winter,JanFeb2020,Winter,FIA6,FIA,low,54.12,78.38
GCKI6,Winter,NovDec2021,EarlyWinter,FIA6,FIA,low,30.38,51.2
SAVS8,Winter,JanFeb2022,Winter,FIA6,FIA,low,55.57,79.5
SAVS5,Fall,SepOct2020,Fall,FIA7,FIA,low,8.57,23.68
ANHU1,Winter,JanFeb2021,Winter,FIA7,FIA,low,3.5,7.22
ORJU3,Winter,JanFeb2020,Winter,MSB1,MSB,high,52.12,55.62
SAVS1,Fall,SepOct2019,Fall,MSB2,MSB,high,24,28
RUHU4,Fall,SepOct2020,Fall,MSB2,MSB,high,51.55,56.62
FOSP2,Winter,JanFeb2021,Winter,MSB2,MSB,high,79.02,103.18
SWTH2,Winter,NovDec2021,EarlyWinter,MSB2,MSB,high,26.73,30.03
AMRO1,Winter,JanFeb2020,Winter,MSB3,MSB,high,55.55,79.3
RUHU5,Winter,JanFeb2022,Winter,MSB3,MSB,high,103.7,INF
HETH2,Fall,SepOct2019,Fall,MSB5,MSB,high,28,33
HETH5,Fall,SepOct2020,Fall,MSB5,MSB,high,32.38,51.33
SAVS6,Winter,NovDec2021,EarlyWinter,MSB5,MSB,high,102.22,INF
LISP1,Fall,SepOct2019,Fall,MSB7,MSB,high,9,24
ORJU4,Fall,SepOct2020,Fall,MSB7,MSB,high,32.52,51.48
CEWA1,Winter,JanFeb2021,Winter,MSB7,MSB,high,6.83,25.58
GCKI7,Winter,JanFeb2022,Winter,MSB7,MSB,high,7,24.05
HETH7,Winter,JanFeb2021,Winter,MWB1,MWB,low,101.52,INF
SPTO2,Winter,JanFeb2020,Winter,MWB10,MWB,low,6.75,23.33
VATH3,Fall,SepOct2020,Fall,MWB10,MWB,low,102.83,INF
FOSP1,Fall,SepOct2019,Fall,MWB2,MWB,low,24,28
SWTH3,Winter,JanFeb2022,Winter,MWB2,MWB,low,102.18,INF
OCWA1,Winter,NovDec2021,EarlyWinter,MWB3,MWB,low,101.38,INF
RSFL1,Fall,SepOct2020,Fall,MWB4,MWB,low,26.07,31.18
GCSP4,Winter,JanFeb2022,Winter,MWB4,MWB,low,0,0.03
RCKI1,Winter,JanFeb2021,Winter,MWB5,MWB,low,22.95,26.28
RENU1,Winter,JanFeb2020,Winter,MWB6,MWB,low,102.63,INF
SOSP2,Fall,SepOct2019,Fall,MWB9,MWB,low,57,81
GCSP1,Fall,SepOct2020,Fall,MWB9,MWB,low,7.48,23.52
SAVS7,Winter,NovDec2021,EarlyWinter,MWB9,MWB,low,77.65,101.43
GCKI2,Fall,SepOct2020,Fall,UVC10,UVC,low,7.53,23.5
GCKI5,Winter,JanFeb2021,Winter,UVC10,UVC,low,103.03,INF
LISP2,Fall,SepOct2019,Fall,UVC11,UVC,low,28,33
LISP4,Winter,JanFeb2020,Winter,UVC11,UVC,low,27.17,30.67
ORJU6,Winter,JanFeb2022,Winter,UVC11,UVC,low,0,2.65
MELOS1,Winter,JanFeb2020,Winter,UVC2,UVC,low,3.1,6.87
ORJU5,Winter,NovDec2021,EarlyWinter,UVC2,UVC,low,26.42,29.7
SPTO3,Fall,SepOct2020,Fall,UVC4,UVC,low,23.55,26.75
VATH4,Fall,SepOct2020,Fall,UVC6,UVC,low,80.07,103.28
GCSP2,Winter,JanFeb2021,Winter,UVC8,UVC,low,23.27,26.6
VATH2,Fall,SepOct2019,Fall,UVC9,UVC,low,52,57
SWTH4,Winter,JanFeb2022,Winter,UVC9,UVC,low,54.6,78.58
