SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB1,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB1 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB10,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB10 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB2,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB2 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB3,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB3 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB4,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB4 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB5,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB5 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB6,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB6 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB7,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB7 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB8,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB8 NA,
2019-09-16,Fall,1,Michael Williams Building,MWB,MWB9,14:15,14:35,JO,N,none,n,n,n,NA,2019-09-16 MWB9 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB1,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB1 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB2,14:40,14:55,JO,Y,feather smear,s,w,1,unknown,2019-09-16 DTB2 unknown,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB3,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB3 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB4,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB4 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB5,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB5 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB6,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB6 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB7,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB7 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB8,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB8 NA,
2019-09-16,Fall,1,David Turpin Building,DTB,DTB9,14:40,14:55,JO,N,none,n,n,n,NA,2019-09-16 DTB9 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA1,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA1 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA2,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA2 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA3,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA3 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA4,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA4 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA5,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA5 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA6,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA6 NA,
2019-09-16,Fall,1,Fine Arts Building,FIA,FIA7,15:11,15:27,JO,N,none,n,n,n,NA,2019-09-16 FIA7 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB1,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB1 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB2,15:31,15:45,TB,Y,carcass,c,g+w,1,GCSP,2019-09-16 MSB2 GCSP,Sparrow
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB2,15:31,15:45,TB,Y,feather pile,f,g+w,10,SOSP,2019-09-16 MSB2 SOSP,Sparrow
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB3,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB3 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB4,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB4 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB5,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB5 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB6,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB6 NA,
2019-09-16,Fall,1,Medical Sciences Building,MSB,MSB7,15:31,15:45,JO,N,none,n,n,n,NA,2019-09-16 MSB7 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW1,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW1 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW2,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW2 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW3,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW3 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW4,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW4 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW5,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW5 NA,
2019-09-16,Fall,1,Engineering Office Wing,EOW,EOW6,16:07,16:25,JO,N,none,n,n,n,NA,2019-09-16 EOW6 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC1,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC1 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC10,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC10 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC11,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC11 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC2,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC2 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC3,16:35,17:00,TB,Y,feather smear,s,w,1,unknown,2019-09-16 UVC3 unknown,
2019-09-16,Fall,1,University Centre,UVC,UVC4,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC4 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC5,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC5 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC6,16:35,17:00,JO,Y,feather smear,s,w,1,unknown,2019-09-16 UVC6 unknown,
2019-09-16,Fall,1,University Centre,UVC,UVC7,16:35,17:00,TB,N,none,n,n,n,NA,2019-09-16 UVC7 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC8,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC8 NA,
2019-09-16,Fall,1,University Centre,UVC,UVC9,16:35,17:00,JO,N,none,n,n,n,NA,2019-09-16 UVC9 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC1,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC1 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC10,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC10 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC11,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC11 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC2,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC2 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC3,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC3 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC4,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC4 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC5,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC5 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC6,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC6 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC7,14:17,14:35,TB,N,none,n,n,n,NA,2019-09-17 UVC7 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC8,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC8 NA,
2019-09-17,Fall,6,University Centre,UVC,UVC9,14:17,14:35,JO,N,none,n,n,n,NA,2019-09-17 UVC9 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW1,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW1 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW2,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW2 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW3,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW3 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW4,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW4 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW5,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW5 NA,
2019-09-17,Fall,6,Engineering Office Wing,EOW,EOW6,14:41,14:54,JO,N,none,n,n,n,NA,2019-09-17 EOW6 NA,
2019-09-17,Fall,6,Medical Sciences Building,MSB,MSB1,14:56,15:06,JO,N,none,n,n,n,NA,2019-09-17 MSB1 NA,
2019-09-17,Fall,6,Medical Sciences Building,MSB,MSB2,14:56,15:06,JO,N,none,n,n,n,NA,2019-09-17 MSB2 NA,
2019-09-17,Fall,6,Medical Sciences Building,MSB,MSB3,14:56,15:06,JO,N,none,n,n,n,NA,2019-09-17 MSB3 NA,
2019-09-17,Fall,6,Medical Sciences Building,MSB,MSB4,14:56,15:06,TB,Y,feather smear,s,w,1,unknown,2019-09-17 MSB4 unknown,
2019-09-17,Fall,6,Medical Sciences Building,MSB,MSB5,14:56,15:06,JO,N,none,n,n,n,NA,2019-09-17 MSB5 NA,
