SURVEY_DATE,SEASON,SKY_CONDITION_CODE,BUILDING_NAME,BUILDING_CODE,FACADE,SURVEY_START_TIME,SURVEY_END_TIME,SURVEYOR,EVIDENCE_FOUND,TYPE_OF_COLLISION,COLLISION_TYPE_CATEGORY,GROUND_OR_WINDOW,NUMBER_OF_FEATHERS,SPECIES_ID,CODE,TAXONOMIC_GROUPING
1/21/20,Winter,5,David Turpin Building,DTB,DTB1,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB1 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB2,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB2 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB3,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB3 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB4,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB4 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB5,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB5 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB6,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB6 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB7,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB7 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB8,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB8 NA,
1/21/20,Winter,5,David Turpin Building,DTB,DTB9,13:07,13:18,JO,N,none,n,n,n,NA,2020-01-21 DTB9 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA1,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA1 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA2,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA2 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA3,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA3 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA4,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA4 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA5,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA5 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA6,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA6 NA,
1/21/20,Winter,2,Fine Arts Building,FIA,FIA7,13:25,13:35,JO,N,none,n,n,n,NA,2020-01-21 FIA7 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB1,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB1 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB2,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB2 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB3,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB3 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB4,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB4 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB5,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB5 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB6,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB6 NA,
1/21/20,Winter,2,Medical Sciences Building,MSB,MSB7,13:40,13:50,JO,N,none,n,n,n,NA,2020-01-21 MSB7 NA,
1/21/20,Winter,1,Engineering Office Wing,EOW,EOW1,13:54,14:05,JO,N,none,n,n,n,NA,2020-01-21 EOW1 NA,
1/21/20,Winter,1,Engineering Office Wing,EOW,EOW2,13:54,14:05,JO,N,none,n,n,n,NA,2020-01-21 EOW2 NA,
1/21/20,Winter,1,Engineering Office Wing,EOW,EOW3,13:54,14:05,JO,N,none,n,n,n,NA,2020-01-21 EOW3 NA,
1/21/20,Winter,1,Engineering Office Wing,EOW,EOW4,13:54,14:05,JO,N,none,n,n,n,NA,2020-01-21 EOW4 NA,
1/21/20,Winter,1,Engineering Office Wing,EOW,EOW5,13:54,14:05,JO,N,none,n,n,n,NA,2020-01-21 EOW5 NA,
