BAND_NUMBER,SPECIES,BANDING_MONTH,BANDING_DAY,BANDING_YEAR,AGE,SEX,BANDER_LOCATION_ID,CAPTURE_TIME,NET_NEST_CAVITY_NUMBER,WING_CHORD,BIRD_WEIGHT,FAT_SCORE,SKULL
298115228,SOSP,8,3,2021,HY,U,PEBA,7:40,14,61,22.1,1,
298115229,SOSP,8,3,2021,HY,U,PEBA,8:20,15,63,17.9,1,
298115230,SOSP,8,5,2021,HY,U,PEBA,6:25,10,67,21.2,0,
298115231,PSWS,8,7,2021,HY,U,PEBA,6:25,7,70,24.2,0,
298115232,PSWS,8,7,2021,HY,U,PEBA,9:05,8,72,24.8,0,
298115233,WETA,8,7,2021,SY,M,PEBA,9:05,2,92,32,3,
298115234,SWTH,8,7,2021,HY,U,PEBA,9:20,15,96,30.6,0,
298115235,SWTH,8,8,2021,HY,U,PEBA,5:50,14,90,30.8,0,2
298115236,SWTH,8,8,2021,HY,U,PEBA,6:10,9,93,30.4,0,2
298115237,SWTH,8,8,2021,HY,U,PEBA,6:10,15,96,31.9,0,2
298115238,PSWS,8,8,2021,HY,U,PEBA,6:10,14,72,24.5,0,1
298115239,SOSP,8,8,2021,HY,U,PEBA,6:30,10,62,22.7,0,2
298115240,PSWS,8,9,2021,HY,U,PEBA,6:10,14,71,25,0,
298115241,PSWS,8,9,2021,HY,U,PEBA,6:10,14,70,22.9,0,
298115242,PSWS,8,9,2021,HY,U,PEBA,7:10,7,68,25,1,
298115243,SOSP,8,9,2021,HY,U,PEBA,7:30,14,65,21.3,0,
298115244,SWTH,8,9,2021,HY,U,PEBA,8:10,15,96,31.3,0,3
298115245,SWTH,8,9,2021,HY,U,PEBA,9:50,6,97,32.7,0,
298115246,SWTH,8,10,2021,HY,U,PEBA,6:30,15,98,30,0,
298115247,SWTH,8,10,2021,HY,U,PEBA,8:50,6,92,29.2,1,2
298115248,SWTH,8,11,2021,HY,U,PEBA,5:55,1,94,32.6,1,
298115249,WETA,8,11,2021,HY,M,PEBA,7:15,3,89,29.1,0,
298115250,SOSP,8,11,2021,HY,U,PEBA,7:15,12,62,20.4,0,
298115251,PSWS,8,11,2021,HY,U,PEBA,7:35,7,68,23.5,0,
298115252,PSWS,8,11,2021,HY,U,PEBA,7:35,8,70,26.3,0,
298115253,PSWS,8,11,2021,AHY,U,PEBA,10:15,5,70,26.2,0,
298115254,PSWS,8,12,2021,HY,U,PEBA,6:35,8,66,23.8,0,
298115255,SOSP,8,12,2021,HY,U,PEBA,6:55,9,63,20.2,0,
298115258,SOSP,8,12,2021,HY,U,PEBA,8:35,14,65,23.5,0,
298115259,PSWS,8,12,2021,HY,U,PEBA,8:55,8,70,21.8,0,
298115260,SOSP,8,13,2021,HY,U,PEBA,6:15,6,66,23.9,1,2
298115261,PSWS,8,13,2021,AHY,U,PEBA,6:15,14,69,24.9,0,
298115262,PSWS,8,13,2021,HY,U,PEBA,6:35,8,72,25,0,
298115263,SOSP,8,13,2021,HY,U,PEBA,7:55,3,62,23.3,0,
298115264,PSWS,8,13,2021,HY,U,PEBA,8:35,8,68,23.1,0,
298115265,SOSP,8,13,2021,HY,U,PEBA,10:15,14,66,23.6,2,
298115266,PSWS,8,14,2021,AHY,M,PEBA,6:15,8,73,25.9,0,
298115267,PSWS,8,14,2021,HY,U,PEBA,6:15,7,67,22.1,0,
298115268,SWTH,8,14,2021,AHY,U,PEBA,7:35,12,,33.3,0,
298115269,PSWS,8,14,2021,HY,U,PEBA,8:15,8,71,26.1,0,
298115270,SWTH,8,14,2021,HY,U,PEBA,8:55,6,97,28,0,2
298115271,SOSP,8,15,2021,HY,U,PEBA,10:40,6,65,23.5,0,2
298115272,SWTH,8,17,2021,HY,U,PEBA,6:00,14,91,30.7,0,
