Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers,FlockingWinter,FlockingFall
S59915449,American Crow,Corvus brachyrhynchos,21054,1,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915448,American Crow,Corvus brachyrhynchos,21054,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915447,American Crow,Corvus brachyrhynchos,21054,4,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,American Crow,Corvus brachyrhynchos,21054,9,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915444,American Robin,Turdus migratorius,27969,2,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,9/18/19,8:19 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,American Robin,Turdus migratorius,27969,2,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915449,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S59915448,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S59915443,Anna's Hummingbird,Calypte anna,4752,1,CA-BC,Capital,L9930892,UVIC-MWB8,48.4659011,-123.313713,9/18/19,8:31 AM,eBird - Stationary Count,5,1,,,1,,,"Micheal Williams Building, MWB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S59915444,Anna's Hummingbird,Calypte anna,4752,2,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,9/18/19,8:19 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,N
S60625784,Anna's Hummingbird,Calypte anna,4752,8,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,N
S59915449,Bewick's Wren,Thryomanes bewickii,26787,2,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S59915444,Bewick's Wren,Thryomanes bewickii,26787,1,CA-BC,Capital,L9930879,UVIC-UVC3,48.4646005,-123.3116142,9/18/19,8:19 AM,eBird - Stationary Count,5,1,,,1,,,"University Centre. UVC, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,N,Y
S60625784,Bewick's Wren,Thryomanes bewickii,26787,4,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,N,Y
S60625784,Bushtit,Psaltriparus minimus,24702,10,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915447,Cedar Waxwing,Bombycilla cedrorum,29256,24,CA-BC,Capital,L9930846,UVIC-MSB2,48.4620092,-123.3125829,9/18/19,7:57 AM,eBird - Stationary Count,5,1,,,1,F Flyover,,"Medical Science Building, MSB, facade 2  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S60625784,Cedar Waxwing,Bombycilla cedrorum,29256,28,CA-BC,Capital,L345539,University of Victoria,48.46304,-123.31187,9/18/19,7:25 AM,eBird - Traveling Count,75,1,2.845,,1,,,Uvic survey walk,,Y,Y
S59915449,Chestnut-backed Chickadee,Poecile rufescens,21591,5,CA-BC,Capital,L9930368,UVIC-DTB8,48.4652048,-123.314461,9/18/19,7:29 AM,eBird - Stationary Count,5,1,,,1,,,"David Turpin Building. DTB, Facade 8.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915446,Chestnut-backed Chickadee,Poecile rufescens,21591,2,CA-BC,Capital,L9930865,UVIC-EOW3,48.4613159,-123.3096298,9/18/19,8:08 AM,eBird - Stationary Count,5,1,,,1,,,"Engineering Office Building. EOW, Facade 3.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
S59915448,Chestnut-backed Chickadee,Poecile rufescens,21591,2,CA-BC,Capital,L9930420,UVIC-FIA1,48.4622663,-123.3167005,9/18/19,7:43 AM,eBird - Stationary Count,5,1,,,1,,,"Fine Arts Building. FIA, Facade 1.  Part of University of Victoria building collision study. 50m radius point counts from fa̤ade.  Weather: overcast",,Y,Y
