ID,Season,SeasonYear,SeasonGen,Building,Building_Facade,Building_Type,s1,s2,s3,s4,s5,PlacemDate
SAVS2,Winter,JanFeb2020,Winter,DTB,DTB2,high,1,NA,NA,NA,NA,2/4/20
HETH1,Fall,SepOct2019,Fall,DTB,DTB3,high,1,NA,NA,NA,NA,9/25/19
HETH4,Fall,SepOct2020,Fall,DTB,DTB3,high,1,NA,NA,NA,NA,10/3/20
FOSP5,Winter,JanFeb2022,Winter,DTB,DTB3,high,1,NA,NA,NA,NA,1/17/22
VATH5,Winter,JanFeb2021,Winter,DTB,DTB4,high,1,NA,NA,NA,NA,2/2/21
RUHU3,Winter,JanFeb2020,Winter,DTB,DTB5,high,1,NA,NA,NA,NA,2/4/20
SAVS3,Fall,SepOct2020,Fall,DTB,DTB5,high,0,0,0,0,0,10/3/20
PISI1,Fall,SepOct2019,Fall,DTB,DTB6,high,1,NA,NA,NA,NA,9/25/19
SAVS4,Fall,SepOct2020,Fall,DTB,DTB7,high,1,NA,NA,NA,NA,10/3/20
AMRO3,Winter,NovDec2021,EarlyWinter,DTB,DTB7,high,1,NA,NA,NA,NA,12/4/21
VATH6,Winter,JanFeb2022,Winter,DTB,DTB7,high,1,NA,NA,NA,NA,1/17/22
PISI2,Fall,SepOct2019,Fall,DTB,DTB8,high,1,NA,NA,NA,NA,9/25/19
GCKI3,Winter,JanFeb2021,Winter,DTB,DTB9,high,1,NA,NA,NA,NA,2/2/21
CEDW1,Winter,NovDec2021,EarlyWinter,DTB,DTB9,high,1,NA,NA,NA,NA,12/4/21
YEWA1,Fall,SepOct2020,Fall,EOW,EOW1,high,1,NA,NA,NA,NA,10/3/20
GCKI4,Winter,JanFeb2021,Winter,EOW,EOW1,high,0,1,NA,NA,NA,2/2/21
GCSP3,Winter,NovDec2021,EarlyWinter,EOW,EOW1,high,0,0,0,0,0,12/4/21
VATH1,Fall,SepOct2019,Fall,EOW,EOW2,high,1,NA,NA,NA,NA,9/25/19
LISP3,Winter,JanFeb2020,Winter,EOW,EOW2,high,1,NA,NA,NA,NA,2/4/20
COYE1,Fall,SepOct2019,Fall,EOW,EOW3,high,0,0,0,0,NA,9/25/19
GCKI1,Fall,SepOct2020,Fall,EOW,EOW3,high,1,NA,NA,NA,NA,10/3/20
AMRO4,Winter,JanFeb2022,Winter,EOW,EOW3,high,0,0,0,0,0,1/17/22
BCCH1,Fall,SepOct2019,Fall,EOW,EOW4,high,1,NA,NA,NA,NA,9/25/19
AMRO2,Winter,JanFeb2021,Winter,EOW,EOW4,high,1,NA,NA,NA,NA,2/2/21
FOSP3,Winter,NovDec2021,EarlyWinter,EOW,EOW4,high,0,0,0,0,0,12/4/21
HOWR1,Winter,JanFeb2020,Winter,EOW,EOW5,high,1,NA,NA,NA,NA,2/4/20
SWTH1,Fall,SepOct2020,Fall,EOW,EOW6,high,1,NA,NA,NA,NA,10/3/20
HETH6,Winter,JanFeb2021,Winter,FIA,FIA1,low,1,NA,NA,NA,NA,2/2/21
FOSP6,Winter,JanFeb2022,Winter,FIA,FIA1,low,1,NA,NA,NA,NA,1/17/22
ORJU1,Fall,SepOct2019,Fall,FIA,FIA3,low,1,NA,NA,NA,NA,9/25/19
SPTO1,Fall,SepOct2019,Fall,FIA,FIA4,low,1,NA,NA,NA,NA,9/25/19
ORJU2,Winter,JanFeb2020,Winter,FIA,FIA5,low,1,NA,NA,NA,NA,2/4/20
PAWR1,Fall,SepOct2020,Fall,FIA,FIA5,low,1,NA,NA,NA,NA,10/3/20
HETH8,Winter,NovDec2021,EarlyWinter,FIA,FIA5,low,1,NA,NA,NA,NA,12/4/21
HETH3,Winter,JanFeb2020,Winter,FIA,FIA6,low,1,NA,NA,NA,NA,2/4/20
GCKI6,Winter,NovDec2021,EarlyWinter,FIA,FIA6,low,1,NA,NA,NA,NA,12/4/21
SAVS8,Winter,JanFeb2022,Winter,FIA,FIA6,low,1,NA,NA,NA,NA,1/17/22
SAVS5,Fall,SepOct2020,Fall,FIA,FIA7,low,1,NA,NA,NA,NA,10/3/20
ANHU1,Winter,JanFeb2021,Winter,FIA,FIA7,low,1,NA,NA,NA,NA,2/2/21
SWTH2,Winter,NovDec2021,EarlyWinter,MSB,MSB2,high,1,NA,NA,NA,NA,12/4/21
RUHU1,Fall,SepOct2019,Fall,MSB,MSB10,high,0,1,NA,NA,NA,9/25/19
ORJU3,Winter,JanFeb2020,Winter,MSB,MSB1,high,1,NA,NA,NA,NA,2/4/20
SAVS1,Fall,SepOct2019,Fall,MSB,MSB2,high,1,NA,NA,NA,NA,9/25/19
RUHU4,Fall,SepOct2020,Fall,MSB,MSB2,high,1,NA,NA,NA,NA,10/3/20
