SearchDate,Season,SeasonYear,SeasonGen,DTB,EOW,FIA,MSB,MWB,UVC,Fall,Winter
9/16/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/17/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/18/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/19/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/20/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/21/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/22/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/23/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/24/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/25/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/26/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/27/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/28/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/29/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
9/30/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/1/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/2/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/3/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/4/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/5/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
10/6/19,Fall,SepOct2019,Fall,1,1,1,1,1,1,1,0
1/21/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/22/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/23/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/24/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/25/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/26/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/27/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/28/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/29/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/30/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
1/31/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/1/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/2/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/3/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/4/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/5/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/6/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/7/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/8/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/9/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
2/10/20,Winter,JanFeb2020,Winter,1,1,1,1,1,1,0,1
9/19/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/20/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/21/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/22/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/23/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/24/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/25/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/26/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/27/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/28/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/29/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
9/30/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/1/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/2/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/3/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/4/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/5/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/6/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/7/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/8/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
10/9/20,Fall,SepOct2020,Fall,1,1,1,1,1,1,1,0
1/19/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/20/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/21/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/22/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/23/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/24/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/25/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/26/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/27/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/28/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/29/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/30/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
1/31/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/1/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/2/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/3/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/4/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/5/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/6/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/7/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
2/8/21,Winter,JanFeb2021,Winter,1,1,1,1,1,1,0,1
11/22/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/23/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/24/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/25/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/26/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/27/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/28/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/29/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
11/30/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/1/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/2/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/3/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/4/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/5/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/6/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/7/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/8/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/9/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/10/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/11/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
12/12/21,Winter,NovDec2021,EarlyWinter,1,1,1,1,1,1,1,0
1/17/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/18/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/19/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/20/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/21/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/22/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/23/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/24/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/25/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/26/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/27/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/28/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/29/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/30/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
1/31/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
2/1/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
2/2/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
2/3/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
2/4/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
2/5/22,Winter,JanFeb2022,Winter,1,1,1,1,1,1,0,1
