"carcID","Year","Season","SeasonYear","Building","Facade","Date","Species"
"x1",2019,"Fall","Fall2019","DTB","DTB2","2019-09-16",NA
"x2",2019,"Fall","Fall2019","MSB","MSB2","2019-09-16","GoldenCrownedSparrow"
"x3",2019,"Fall","Fall2019","MSB","MSB2","2019-09-16","SongSparrow"
"x4",2019,"Fall","Fall2019","UVC","UVC3","2019-09-16",NA
"x5",2019,"Fall","Fall2019","UVC","UVC6","2019-09-16",NA
"x6",2019,"Fall","Fall2019","MSB","MSB4","2019-09-17",NA
"x7",2019,"Fall","Fall2019","DTB","DTB3","2019-09-17",NA
"x8",2019,"Fall","Fall2019","MSB","MSB2","2019-09-18","DarkEyedJunco"
"x9",2019,"Fall","Fall2019","MSB","MSB4","2019-09-18",NA
"x10",2019,"Fall","Fall2019","MSB","MSB7","2019-09-18","GoldenCrownedSparrow"
"x11",2019,"Fall","Fall2019","EOW","EOW2","2019-09-18","GoldenCrownedKinglet"
"x12",2019,"Fall","Fall2019","MWB","MWB5","2019-09-18",NA
"x13",2019,"Fall","Fall2019","DTB","DTB2","2019-09-19",NA
"x14",2019,"Fall","Fall2019","DTB","DTB8","2019-09-19","SavannahSparrow"
"x15",2019,"Fall","Fall2019","MSB","MSB2","2019-09-19","HermitThrush"
"x16",2019,"Fall","Fall2019","MSB","MSB7","2019-09-19","YellowWarbler"
"x17",2019,"Fall","Fall2019","FIA","FIA4","2019-09-19","LincolnsSparrow"
"x18",2019,"Fall","Fall2019","FIA","FIA5","2019-09-19","DarkEyedJunco"
"x19",2019,"Fall","Fall2019","UVC","UVC9","2019-09-19","GoldenCrownedSparrow"
"x20",2019,"Fall","Fall2019","FIA","FIA1","2019-09-20",NA
"x21",2019,"Fall","Fall2019","MSB","MSB2","2019-09-20",NA
"x22",2019,"Fall","Fall2019","EOW","EOW2","2019-09-20","GoldenCrownedKinglet"
"x23",2019,"Fall","Fall2019","UVC","UVC5","2019-09-20",NA
"x24",2019,"Fall","Fall2019","UVC","UVC8","2019-09-20",NA
"x25",2019,"Fall","Fall2019","EOW","EOW2","2019-09-21","SwainsonsThrush"
"x26",2019,"Fall","Fall2019","MSB","MSB2","2019-09-21",NA
"x27",2019,"Fall","Fall2019","MSB","MSB2","2019-09-21",NA
"x28",2019,"Fall","Fall2019","MSB","MSB4","2019-09-21",NA
"x29",2019,"Fall","Fall2019","MSB","MSB5","2019-09-21","YellowWarbler"
"x30",2019,"Fall","Fall2019","MWB","MWB5","2019-09-21",NA
"x31",2019,"Fall","Fall2019","DTB","DTB3","2019-09-21",NA
"x32",2019,"Fall","Fall2019","UVC","UVC5","2019-09-21",NA
"x33",2019,"Fall","Fall2019","MSB","MSB4","2019-09-22",NA
"x34",2019,"Fall","Fall2019","UVC","UVC3","2019-09-22",NA
"x35",2019,"Fall","Fall2019","UVC","UVC5","2019-09-22","FoxSparrow"
