"","X","Common.Name","FlockingWinter","FlockingFall"
"1",1,"AmericanCrow",1,1
"2",2,"AmericanGoldfinch",1,1
"3",3,"AmericanPipit",NA,1
"4",4,"AmericanRobin",1,1
"5",5,"AnnasHummingbird",0,0
"6",6,"BandTailedPigeon",NA,1
"7",7,"BarredOwl",0,0
"8",8,"BeltedKingfisher",0,0
"9",9,"BewicksWren",0,1
"10",10,"BlackHeadedGrosbeak",NA,0
"11",11,"BlackThroatedGrayWarbler",NA,0
"12",12,"BrewersBlackbird",1,1
"13",13,"BrownCreeper",0,0
"14",14,"BrownHeadedCowbird",NA,1
"15",15,"Bushtit",1,1
"16",16,"CanadaGoose",1,1
"17",17,"CassinsVireo",NA,0
"18",18,"CedarWaxwing",1,1
"19",19,"ChestnutBackedChickadee",1,1
"20",20,"ChippingSparrow",NA,0
"21",21,"CommonRaven",0,1
"22",22,"CommonYellowthroat",NA,0
"23",23,"CoopersHawk",0,0
"24",24,"DarkEyedJunco",1,1
"25",25,"DownyWoodpecker",0,0
"26",26,"EurasianCollaredDove",1,0
"27",27,"EuropeanStarling",1,1
"28",28,"FoxSparrow",0,0
"29",29,"GlaucousWingedGull",1,0
"30",30,"GoldenCrownedKinglet",1,1
"31",31,"GoldenCrownedSparrow",1,1
"32",32,"HairyWoodpecker",0,0
"33",33,"HammondsFlycatcher",NA,0
"34",34,"HermitThrush",0,0
"35",35,"HouseFinch",0,1
"36",36,"HouseSparrow",1,1
"37",37,"HouseWren",NA,0
"38",38,"HuttonsVireo",0,0
"39",39,"LincolnsSparrow",0,1
"40",40,"MacGillivraysWarbler",NA,0
"41",41,"Mallard",1,1
"42",42,"Merlin",0,0
"43",43,"NashvilleWarbler",NA,NA
"44",44,"NorthernFlicker",0,0
"45",45,"NorthernSawWhetOwl",NA,0
"46",46,"NorthernWaterthrush",NA,0
"47",47,"OliveSidedFlycatcher",NA,0
"48",48,"OrangeCrownedWarbler",NA,0
"49",49,"Osprey",0,0
"50",50,"PacificSlopeFlycatcher",0,0
"51",51,"PacificWren",0,0
"52",52,"PileatedWoodpecker",0,0
"53",53,"PineSiskin",1,1
"54",54,"PurpleFinch",0,0
"55",55,"RedBreastedNuthatch",0,1
"56",56,"RedBreastedSapsucker",0,0
"57",57,"RedCrossbill",1,1
"58",58,"RedTailedHawk",0,0
"59",59,"RedWingedBlackbird",1,1
"60",60,"RubyCrownedKinglet",0,1
"61",61,"RufousHummingbird",NA,0
"62",62,"SavannahSparrow",NA,0
"63",63,"SharpShinnedHawk",0,0
"64",64,"SongSparrow",0,0
"65",65,"SpottedTowhee",0,1
"66",66,"StellersJay",1,1
"67",67,"SwainsonsThrush",NA,0
"68",68,"TownsendsSolitaire",0,0
"69",69,"TownsendsWarbler",NA,0
"70",70,"TurkeyVulture",0,1
"71",71,"VariedThrush",1,1
"72",72,"VioletGreenSwallow",NA,1
"73",73,"WarblingVireo",0,1
"74",74,"WesternTanager",NA,1
"75",75,"WesternWoodPewee",NA,0
"76",76,"WhiteCrownedSparrow",1,1
"77",77,"WhiteThroatedSparrow",1,1
"78",78,"WillowFlycatcher",0,0
"79",79,"WilsonsWarbler",NA,0
"80",80,"YellowRumpedWarbler",1,1
"81",81,"YellowWarbler",NA,0
