"carcID","Year","Season","SeasonYear","Building","Facade","Date","Species"
"x1",2019,"Fall","Fall2019","MSB","MSB2","2019-09-16","GoldenCrownedSparrow"
"x2",2019,"Fall","Fall2019","MSB","MSB2","2019-09-16","SongSparrow"
"x3",2019,"Fall","Fall2019","MSB","MSB2","2019-09-18","DarkEyedJunco"
"x4",2019,"Fall","Fall2019","MSB","MSB7","2019-09-18","GoldenCrownedSparrow"
"x5",2019,"Fall","Fall2019","EOW","EOW2","2019-09-18","GoldenCrownedKinglet"
"x6",2019,"Fall","Fall2019","DTB","DTB8","2019-09-19","SavannahSparrow"
"x7",2019,"Fall","Fall2019","MSB","MSB2","2019-09-19","HermitThrush"
"x8",2019,"Fall","Fall2019","MSB","MSB7","2019-09-19","YellowWarbler"
"x9",2019,"Fall","Fall2019","FIA","FIA4","2019-09-19","LincolnsSparrow"
"x10",2019,"Fall","Fall2019","FIA","FIA5","2019-09-19","DarkEyedJunco"
"x11",2019,"Fall","Fall2019","UVC","UVC9","2019-09-19","GoldenCrownedSparrow"
"x12",2019,"Fall","Fall2019","MSB","MSB2","2019-09-20",NA
"x13",2019,"Fall","Fall2019","UVC","UVC5","2019-09-20",NA
"x14",2019,"Fall","Fall2019","EOW","EOW2","2019-09-21","SwainsonsThrush"
"x15",2019,"Fall","Fall2019","MSB","MSB2","2019-09-21",NA
"x16",2019,"Fall","Fall2019","MSB","MSB5","2019-09-21","YellowWarbler"
"x17",2019,"Fall","Fall2019","MWB","MWB5","2019-09-21",NA
"x18",2019,"Fall","Fall2019","DTB","DTB3","2019-09-21",NA
"x19",2019,"Fall","Fall2019","UVC","UVC5","2019-09-22","FoxSparrow"
"x20",2019,"Fall","Fall2019","FIA","FIA6","2019-09-22",NA
"x21",2019,"Fall","Fall2019","UVC","UVC4","2019-09-23",NA
"x22",2019,"Fall","Fall2019","UVC","UVC8","2019-09-23",NA
"x23",2019,"Fall","Fall2019","EOW","EOW3","2019-09-23","HermitThrush"
"x24",2019,"Fall","Fall2019","UVC","UVC8","2019-09-24","OrangeCrownedWarbler"
"x25",2019,"Fall","Fall2019","MSB","MSB2","2019-09-25","HermitThrush"
"x26",2019,"Fall","Fall2019","UVC","UVC8","2019-09-25",NA
"x27",2019,"Fall","Fall2019","MSB","MSB2","2019-09-26","SavannahSparrow"
"x28",2019,"Fall","Fall2019","UVC","UVC8","2019-09-26","FoxSparrow"
"x29",2019,"Fall","Fall2019","UVC","UVC8","2019-09-26",NA
"x30",2019,"Fall","Fall2019","EOW","EOW2","2019-09-27","GoldenCrownedKinglet"
"x31",2019,"Fall","Fall2019","EOW","EOW2","2019-09-27",NA
"x32",2019,"Fall","Fall2019","EOW","EOW2","2019-09-27","HermitThrush"
