"","SPECIES_ID","Ncollisions"
"1","AmericanCrow",0
"2","AmericanRobin",1
"3","AnnasHummingbird",0
"4","BewicksWren",0
"5","BrownCreeper",0
"6","Bushtit",0
"7","CanadaGoose",0
"8","ChestnutBackedChickadee",0
"9","CommonRaven",0
"10","CoopersHawk",0
"11","DarkEyedJunco",0
"12","DownyWoodpecker",0
"13","EurasianCollaredDove",0
"14","EuropeanStarling",0
"15","FoxSparrow",0
"16","GlaucousWingedGull",0
"17","GoldenCrownedKinglet",3
"18","GoldenCrownedSparrow",0
"19","HermitThrush",2
"20","HouseFinch",0
"21","Mallard",0
"22","Merlin",0
"23","NorthernFlicker",0
"24","PacificWren",0
"25","PileatedWoodpecker",0
"26","PineSiskin",0
"27","PurpleFinch",0
"28","RedBreastedNuthatch",0
"29","RedCrossbill",0
"30","RedTailedHawk",0
"31","RubyCrownedKinglet",0
"32","SharpShinnedHawk",0
"33","SongSparrow",0
"34","SpottedTowhee",0
"35","StellersJay",0
"36","VariedThrush",6
