"","BANDING_DAY","BANDING_MONTH","BANDING_YEAR","DATE","effortNhoursNet","effortTotalHoursNet","effort_str"
"1",1,9,2020,"2020-09-01",6,78,1
"2",2,9,2020,"2020-09-02",2.333333333,25.7,0.32948717948718
"3",3,9,2020,"2020-09-03",2.333333333,29.3,0.375641025641026
"4",4,9,2020,"2020-09-04",2.333333333,30.3,0.388461538461538
"5",5,9,2020,"2020-09-05",6,76,0.974358974358974
"6",6,9,2020,"2020-09-06",6,78,1
"7",7,9,2020,"2020-09-07",6,77.3,0.991025641025641
"8",8,9,2020,"2020-09-08",6,76,0.974358974358974
"9",9,9,2020,"2020-09-09",6,78,1
"10",10,9,2020,"2020-09-10",6,78,1
"11",11,9,2020,"2020-09-11",6,66,0.846153846153846
"12",12,9,2020,"2020-09-12",6,78,1
"13",13,9,2020,"2020-09-13",6,78,1
"14",14,9,2020,"2020-09-14",6,78,1
"15",15,9,2020,"2020-09-15",6,78,1
"16",16,9,2020,"2020-09-16",6,78,1
"17",17,9,2020,"2020-09-17",6,76,0.974358974358974
"18",18,9,2020,"2020-09-18",6,78,1
"19",19,9,2020,"2020-09-19",6,70,0.897435897435897
"20",20,9,2020,"2020-09-20",6,78,1
"21",21,9,2020,"2020-09-21",6,78,1
"22",22,9,2020,"2020-09-22",6,78,1
"23",23,9,2020,"2020-09-23",4,41.3,0.52948717948718
"24",24,9,2020,"2020-09-24",6,73.7,0.944871794871795
"25",25,9,2020,"2020-09-25",4.333333333,45.5,0.583333333333333
"26",26,9,2020,"2020-09-26",6,78,1
"27",27,9,2020,"2020-09-27",6,78,1
"28",28,9,2020,"2020-09-28",6,78,1
"29",29,9,2020,"2020-09-29",6,78,1
"30",30,9,2020,"2020-09-30",6,78,1
"31",1,10,2020,"2020-10-01",6,78,1
"32",2,10,2020,"2020-10-02",6,78,1
"33",3,10,2020,"2020-10-03",6,75,0.961538461538462
"34",4,10,2020,"2020-10-04",6,78,1
"35",5,10,2020,"2020-10-05",6,78,1
"36",6,10,2020,"2020-10-06",6,78,1
"37",7,10,2020,"2020-10-07",6,78,1
"38",8,10,2020,"2020-10-08",6,78,1
"39",9,10,2020,"2020-10-09",6,78,1
"40",10,10,2020,"2020-10-10",5.916666667,65.1,0.834615384615385
"41",11,10,2020,"2020-10-11",3.833333333,49.8,0.638461538461538
"42",12,10,2020,"2020-10-12",6,67.3,0.862820512820513
"43",13,10,2020,"2020-10-13",5,50,0.641025641025641
"44",14,10,2020,"2020-10-14",6,78,1
"45",15,10,2020,"2020-10-15",6,78,1
"46",16,10,2020,"2020-10-16",4,49.7,0.637179487179487
"47",17,10,2020,"2020-10-17",6,77,0.987179487179487
"48",18,10,2020,"2020-10-18",6,78,1
