"","Date","Location","Year","Month","Season","Effort"
"1","2021-11-22","UVIC-DTB1",2021,11,"EarlyWinter",0.004
"2","2021-11-22","UVIC-EOW6",2021,11,"EarlyWinter",0.004
"3","2021-11-22","UVIC-FIA2",2021,11,"EarlyWinter",0.004
"4","2021-11-22","UVIC-MSB4",2021,11,"EarlyWinter",0.004
"5","2021-11-22","UVIC-MWB6",2021,11,"EarlyWinter",0.004
"6","2021-11-22","UVIC-UVC6",2021,11,"EarlyWinter",0.004
"7","2021-11-25","UVIC-DTB6",2021,11,"EarlyWinter",0.004
"8","2021-11-25","UVIC-EOW1",2021,11,"EarlyWinter",0.004
"9","2021-11-25","UVIC-FIA4",2021,11,"EarlyWinter",0.004
"10","2021-11-25","UVIC-MSB1",2021,11,"EarlyWinter",0.004
"11","2021-11-25","UVIC-MWB1",2021,11,"EarlyWinter",0.004
"12","2021-11-25","UVIC-UVC1",2021,11,"EarlyWinter",0.004
"13","2021-11-29","UVIC-DTB2",2021,11,"EarlyWinter",0.004
"14","2021-11-29","UVIC-EOW2",2021,11,"EarlyWinter",0.004
"15","2021-11-29","UVIC-FIA3",2021,11,"EarlyWinter",0.004
"16","2021-11-29","UVIC-MSB2",2021,11,"EarlyWinter",0.004
"17","2021-11-29","UVIC-MWB2",2021,11,"EarlyWinter",0.004
"18","2021-11-29","UVIC-UVC2",2021,11,"EarlyWinter",0.004
"19","2021-12-02","UVIC-DTB4",2021,12,"EarlyWinter",0.004
"20","2021-12-02","UVIC-EOW5",2021,12,"EarlyWinter",0.004
"21","2021-12-02","UVIC-FIA1",2021,12,"EarlyWinter",0.004
"22","2021-12-02","UVIC-MSB3",2021,12,"EarlyWinter",0.004
"23","2021-12-02","UVIC-MWB3",2021,12,"EarlyWinter",0.004
"24","2021-12-02","UVIC-UVC8",2021,12,"EarlyWinter",0.004
"25","2021-12-06","UVIC-DTB3",2021,12,"EarlyWinter",0.004
"26","2021-12-06","UVIC-EOW3",2021,12,"EarlyWinter",0.004
"27","2021-12-06","UVIC-FIA7",2021,12,"EarlyWinter",0.004
"28","2021-12-06","UVIC-MSB5",2021,12,"EarlyWinter",0.004
"29","2021-12-06","UVIC-MWB8",2021,12,"EarlyWinter",0.004
"30","2021-12-06","UVIC-UVC7",2021,12,"EarlyWinter",0.004
"31","2021-12-09","UVIC-DTB5",2021,12,"EarlyWinter",0.004
"32","2021-12-09","UVIC-EOW4",2021,12,"EarlyWinter",0.004
"33","2021-12-09","UVIC-MWB7",2021,12,"EarlyWinter",0.004
"34","2021-12-09","UVIC-UVC4",2021,12,"EarlyWinter",0.004
