"","Date","Location","Year","Month","Season","Effort"
"1","2020-09-16","UVIC-DTB1",2020,9,"Fall",0.004
"2","2020-09-16","UVIC-EOW2",2020,9,"Fall",0.004
"3","2020-09-16","UVIC-FIA6",2020,9,"Fall",0.004
"4","2020-09-16","UVIC-MSB3",2020,9,"Fall",0.004
"5","2020-09-16","UVIC-MWB7",2020,9,"Fall",0.004
"6","2020-09-18","UVIC-EOW1",2020,9,"Fall",0.004
"7","2020-09-18","UVIC-FIA4",2020,9,"Fall",0.004
"8","2020-09-18","UVIC-MSB6",2020,9,"Fall",0.004
"9","2020-09-18","UVIC-MWB1",2020,9,"Fall",0.004
"10","2020-09-18","UVIC-UVC8",2020,9,"Fall",0.004
"11","2020-09-22","UVIC-DTB5",2020,9,"Fall",0.004
"12","2020-09-22","UVIC-EOW5",2020,9,"Fall",0.004
"13","2020-09-22","UVIC-FIA2",2020,9,"Fall",0.004
"14","2020-09-22","UVIC-MSB4",2020,9,"Fall",0.004
"15","2020-09-22","UVIC-UVC11",2020,9,"Fall",0.004
"16","2020-09-25","UVC-10",2020,9,"Fall",0.004
"17","2020-09-25","UVIC-DTB8",2020,9,"Fall",0.004
"18","2020-09-25","UVIC-FIA3",2020,9,"Fall",0.004
"19","2020-09-25","UVIC-MWB2",2020,9,"Fall",0.004
"20","2020-09-29","UVIC-DTB9",2020,9,"Fall",0.004
"21","2020-09-29","UVIC-EOW6",2020,9,"Fall",0.004
"22","2020-09-29","UVIC-FIA1",2020,9,"Fall",0.004
"23","2020-09-29","UVIC-MSB1",2020,9,"Fall",0.004
"24","2020-09-29","UVIC-MWB6",2020,9,"Fall",0.004
"25","2020-09-29","UVIC-UVC2",2020,9,"Fall",0.004
"26","2020-10-02","UVIC-DTB4",2020,10,"Fall",0.004
"27","2020-10-02","UVIC-EOW3",2020,10,"Fall",0.004
"28","2020-10-02","UVIC-FIA7",2020,10,"Fall",0.004
"29","2020-10-02","UVIC-MWB5",2020,10,"Fall",0.004
"30","2020-10-02","UVIC-UVC6",2020,10,"Fall",0.004
