"","Date","Location","Year","Month","Season","Effort"
"1","2021-01-19","UVIC-DTB1",2021,1,"LateWinter",0.004
"2","2021-01-19","UVIC-EOW1",2021,1,"LateWinter",0.004
"3","2021-01-19","UVIC-FIA1",2021,1,"LateWinter",0.004
"4","2021-01-19","UVIC-MSB1",2021,1,"LateWinter",0.004
"5","2021-01-19","UVIC-MWB5",2021,1,"LateWinter",0.004
"6","2021-01-19","UVIC-UVC1",2021,1,"LateWinter",0.004
"7","2021-01-21","UVIC-DTB8",2021,1,"LateWinter",0.004
"8","2021-01-21","UVIC-EOW6",2021,1,"LateWinter",0.004
"9","2021-01-21","UVIC-FIA5",2021,1,"LateWinter",0.004
"10","2021-01-21","UVIC-MSB4",2021,1,"LateWinter",0.004
"11","2021-01-21","UVIC-MWB6",2021,1,"LateWinter",0.004
"12","2021-01-21","UVIC-UVC9",2021,1,"LateWinter",0.004
"13","2021-01-26","UVIC-DTB3",2021,1,"LateWinter",0.004
"14","2021-01-26","UVIC-EOW5",2021,1,"LateWinter",0.004
"15","2021-01-26","UVIC-FIA2",2021,1,"LateWinter",0.004
"16","2021-01-26","UVIC-MSB2",2021,1,"LateWinter",0.004
"17","2021-01-26","UVIC-MWB3",2021,1,"LateWinter",0.004
"18","2021-01-26","UVIC-UVC3",2021,1,"LateWinter",0.004
"19","2021-01-28","UVIC-DTB6",2021,1,"LateWinter",0.004
"20","2021-01-28","UVIC-FIA4",2021,1,"LateWinter",0.004
"21","2021-01-28","UVIC-MSB3",2021,1,"LateWinter",0.004
"22","2021-01-28","UVIC-UVC8",2021,1,"LateWinter",0.004
"23","2021-02-02","UVIC-DTB2",2021,2,"LateWinter",0.004
"24","2021-02-02","UVIC-EOW2",2021,2,"LateWinter",0.004
"25","2021-02-02","UVIC-FIA7",2021,2,"LateWinter",0.004
"26","2021-02-02","UVIC-MSB5",2021,2,"LateWinter",0.004
"27","2021-02-02","UVIC-MWB9",2021,2,"LateWinter",0.004
"28","2021-02-02","UVIC-UVC2",2021,2,"LateWinter",0.004
"29","2021-02-04","UVIC-DTB5",2021,2,"LateWinter",0.004
"30","2021-02-04","UVIC-EOW3",2021,2,"LateWinter",0.004
"31","2021-02-04","UVIC-MWB8",2021,2,"LateWinter",0.004
"32","2021-02-04","UVIC-UVC6",2021,2,"LateWinter",0.004
