"","Common.Name","FlockingFall"
"1","AmericanCrow",1
"2","AmericanGoldfinch",1
"3","AmericanPipit",1
"4","AmericanRobin",1
"5","AnnasHummingbird",0
"6","BarredOwl",0
"7","BewicksWren",1
"8","BlackThroatedGrayWarbler",0
"9","BrewersBlackbird",1
"10","BrownCreeper",0
"11","Bushtit",1
"12","CanadaGoose",1
"13","CedarWaxwing",1
"14","ChestnutBackedChickadee",1
"15","CommonRaven",1
"16","CommonYellowthroat",0
"17","CoopersHawk",0
"18","DarkEyedJunco",1
"19","DownyWoodpecker",0
"20","EuropeanStarling",1
"21","FoxSparrow",0
"22","GlaucousWingedGull",0
"23","GoldenCrownedKinglet",1
"24","GoldenCrownedSparrow",1
"25","HairyWoodpecker",0
"26","HammondsFlycatcher",0
"27","HermitThrush",0
"28","HouseFinch",1
"29","HouseSparrow",1
"30","HouseWren",0
"31","HuttonsVireo",0
"32","LincolnsSparrow",1
"33","MacGillivraysWarbler",0
"34","Mallard",1
"35","NorthernFlicker",0
"36","NorthernSawWhetOwl",0
"37","OrangeCrownedWarbler",0
"38","PacificSlopeFlycatcher",0
"39","PacificWren",0
"40","PineSiskin",1
"41","PurpleFinch",0
"42","RedBreastedNuthatch",1
"43","RedTailedHawk",0
"44","RedWingedBlackbird",1
"45","RubyCrownedKinglet",1
"46","SavannahSparrow",0
"47","SharpShinnedHawk",0
"48","SongSparrow",0
"49","SpottedTowhee",1
"50","StellersJay",1
"51","SwainsonsThrush",0
"52","TownsendsSolitaire",0
"53","TownsendsWarbler",0
"54","TurkeyVulture",1
"55","VariedThrush",1
"56","WarblingVireo",1
"57","WesternTanager",1
"58","WhiteCrownedSparrow",1
"59","WhiteThroatedSparrow",1
"60","WillowFlycatcher",0
"61","WilsonsWarbler",0
"62","YellowRumpedWarbler",1
"63","YellowWarbler",0
